Participant,Gender,Age,SpanL1,LangSpoken,Lang_0.5,Lang_6.12,Lang_13.18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country,Word,word_lemma,AssociateNumber,Orig_Response,Response,Response_lemma,Response_Class,Relation_Type,Confidence,Comments,List,word_ID,translation,Block
sp103,Female,24,Yes,Spanish English ,Spanish,Spanish,Spanish ,Yes,"Elementary school, high school",Unsure,No,No,,agua,agua,2,Refrescante,refrescante,refrescante,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp104,Male,27,Yes,english and spanish,Spanish and English,Spanish and English,Spanish and English,Yes,All my life,12,No,No,,agua,agua,2,hidratar,hidratar,hidratar,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp105,Male,25,Yes,"spanish, english","spanish, english","spanish, english","spanish, english",Yes,elementary school,3 years,Yes,Yes,I live in the USA... ,agua,agua,2,ocean,ocean,ocean,noun,NA,NA,Eng,A,r2_sp_a1,water,Span
sp106,Female,25,Yes,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,No,,agua,agua,2,oceano,oceano,oceeano,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp107,Male,27,Yes,English and Spanish,spanish,spanish,English and Spanish,No,,,Yes,No,,agua,agua,2,mar,mar,mar,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp108,Female,31,Yes,English and Spanish,"Spanish, English","Spanish, English","Spanish, English",No,,,Yes,Yes,United States - I live there,agua,agua,2,Café,cafe,cafee,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp109,Female,21,Yes,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",No,,,No,Yes,n/a,agua,agua,2,lago,lago,lago,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp110,Female,27,Yes,Spanish and English,2,2,2,No,,,Yes,No,,agua,agua,2,caliente,caliente,caliente,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp111,Female,34,Yes,"Spanish, English",Spanish,Spanish,Spanish,Yes,High school,4,Yes,Yes,USA. 4 years,agua,agua,2,Hielo,hielo,hielo,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp112,Female,19,Yes,english and spanish,2,2,2,No,,,Yes,Yes,I live in an English speaking country,agua,agua,2,pes,pez,pez,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp113,Female,24,Yes,spanish and english,spanish,spanish and english,both,No,,,No,No,,agua,agua,2,fresca,fresco,fresco,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp114,Female,21,Yes,"spanish, english, french ",spanish,"english, spanish","spanish, english, french",Yes,elementary school,12,Yes,Yes,United States,agua,agua,2,botella,botella,botella,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp115,Male,25,Yes,English and Spanish,English and Spanish,English and Spanish,English and Spanish,Yes,"Elementary, middle school, high school, college",12,No,No,,agua,agua,2,mar,mar,mar,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp116,Male,20,Yes,"English, Spanish",1,1,1,Yes,Elementary ,1,Yes,Yes,"United States, I live here now",agua,agua,2,refrescante,refrescante,refrescante,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp117,Female,19,Yes,"Spanish, english","Spanish, english","Spanish, english","Spanish, english",Yes,"Elementary, middle and high school",10 years,Yes,Yes,USA,agua,agua,2,Lago,lago,lago,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp118,Female,21,Yes,english,spanish,english,english,No,,,Yes,No,,agua,agua,2,leche,leche,leche,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp119,Male,21,Yes,"English, spanish, french",Spanish,Spanish,Spanish,Yes,Middle school,7 years,No,Yes,The US and Canada ,agua,agua,2,caliente,caliente,caliente,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp120,Female,19,Yes,Spanish + English ,Spanish,"Spanish, English ","Spanish, English ",No,,,Yes,Yes,USA whole life,agua,agua,2,Bolsa,bolsa,bolsa,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp121,Female,26,Yes,Spanish and English,Spanish,Spanish,Spanish,No,,,Yes,No,,agua,agua,2,claro,claro,claro,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp122,Male,31,Yes,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,No,,agua,agua,2,Limpiar,limpiar,limpiar,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp123,Female,26,Yes,"spanish, english",spanish,spanish/english,spanish/english,Yes,"elementary, middle/high school, college, university",20 yrs,Yes,Yes,"united states, 26 years",agua,agua,2,vaso,vaso,vaso,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp124,Female,21,Yes,"english, spanish ",spanish,spanish,spanish & english,Yes,high school and college,11 years,No,No,,agua,agua,2,bebida,bebida,bebida,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp125,Male,20,Yes,"English, spanish","English, spanish","English, spanish","English, spanish",Yes,high school,the required amount for graduation,Yes,Yes,"United States, i live there now",agua,agua,2,piscina,piscina,piscina,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp126,Male,22,Yes,English and Spanish,Spanish,English,English,Yes,school,18 years,Yes,Yes,I was born in the USA,agua,agua,2,claro,claro,claro,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp127,Female,32,Yes,"English, Spanish, French","Spanish, English","English, Spanish","English, Spanish, French",No,,,Yes,Yes,United States; I have lived here since I was 2 so 30 years,agua,agua,2,tomar,tomar,tomar,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp129,Female,22,Yes,"Spanish, English", Spanish,Spanish,Spanish,No,,,No,No,,agua,agua,2,sed,sed,sed,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp130,Female,33,Yes,"english, Spanish, French ",Spanish,"Spanish, english","Spanish, english",Yes,all through school,12,Yes,Yes,US,agua,agua,2,vaso,vaso,vaso,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp131,Female,23,Yes,english and spanish,spanish and english,spanish and english,spanish and english,Yes,high school,4 years,Yes,No,,agua,agua,2,rio,rio,riio,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp132,Male,18,Yes,"English, Spanish",Spanish,English and Spanish,English and Spanish ,Yes,middle school and high school ,7,Yes,No,,agua,agua,2,Divertido,divertido,divertido,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp133,Male,25,Yes,English Spanish,2,,,Yes,high school,8,Yes,Yes,Canada 6 months,agua,agua,2,tomada,tomado,tomado,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp134,Female,21,Yes,spanish and english,spanish,english,english,No,,,Yes,No,,agua,agua,2,beber,beber,beber,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp135,Female,20,Yes,"English, Spanish",spanish,"English, Spanish","English, Spanish",No,,,No,No,,agua,agua,2,botella,botella,botella,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp136,Male,33,Yes,spanish english ,spanish,spanish,english,No,,,No,Yes,us,agua,agua,2,tomar,tomar,tomar,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp137,Female,19,Yes,English and Spanish,spanish,Spanish and english,Spanish and english,Yes,Elementary,2 years,Yes,No,,agua,agua,2,playa,playa,playa,noun,NA,NA,NA,A,r2_sp_a1,water,Span
