"","source","target","weight"
"747","cuadro","pared",1
"748","cuadro","personaje",1
"749","cuadro","pintar",1
"750","cuadro","pintor",1
"751","cuadro","pintura",8
"752","cuadro","playa",1
"753","cuadro","profesional",1
"754","cuadro","retrato",2
"755","cuadro","saabana",1
"756","cuadro","sala",1
"757","cuadro","seis",1
"758","cuadro","talentoso",1
"759","cuadro","teleefono",2
"760","cuadro","tomar",1
"761","cuadro","trabajo",1
"762","cuadro","tres",1
"763","cuadro","uno",1
"764","cuadro","vacacioon",1
"765","cuadro","ver",1
"766","cuadro","visioon",1
"767","dinero","arroz",1
"768","dinero","banco",3
"769","dinero","barato",2
"770","dinero","bolsa",1
"771","dinero","bueno",1
"772","dinero","cambio",1
"773","dinero","caro",4
"774","dinero","ceentimo",1
"775","dinero","coche",1
"776","dinero","comida",1
"777","dinero","comprar",11
"778","dinero","contento",1
"779","dinero","costoso",1
"780","dinero","descuento",1
"781","dinero","divisa",1
"782","dinero","doolar",1
"783","dinero","efectivo",1
"784","dinero","factura",1
"785","dinero","finanza",1
"786","dinero","ganar",1
"787","dinero","gastar",5
"788","dinero","gente",1
"789","dinero","helado",1
"790","dinero","importante",2
"791","dinero","joya",1
"792","dinero","mano",1
"793","dinero","mucho",3
"794","dinero","necesario",1
"795","dinero","pagar",5
"796","dinero","pago",1
"797","dinero","plata",1
"798","dinero","pobreza",1
"799","dinero","poder",1
"800","dinero","pollo",1
"801","dinero","querer",3
"802","dinero","recuerdo",1
"803","dinero","rico",2
"804","dinero","ropa",1
"805","dinero","sucio",1
"806","dinero","tarjeta",1
"807","dinero","tienda",6
"808","dinero","trabajar",3
"809","dinero","trabajo",6
"810","dinero","vegetal",1
"811","dinero","vendedor",1
"812","dinero","vender",2
"813","dinero","verde",7
"814","dolor","accidente",1
"815","dolor","agravio",1
"816","dolor","ambulancia",1
"817","dolor","ay",1
"818","dolor","ayudar",1
"819","dolor","cabeza",6
"820","dolor","caer",1
"821","dolor","calor",1
"822","dolor","cara",1
"823","dolor","color",1
"824","dolor","corazoon",1
"825","dolor","cuerpo",1
"826","dolor","danno",2
"827","dolor","de",2
"828","dolor","deber",1
"829","dolor","descansar",1
"830","dolor","doctor",1
"831","dolor","doler",1
"832","dolor","dolor",1
"833","dolor","doloroso",1
"834","dolor","dormir",1
"835","dolor","duelo",2
"836","dolor","enfermo",3
"837","dolor","espalda",1
"838","dolor","estoomago",1
"839","dolor","farmacia",1
"840","dolor","fiebre",1
"841","dolor","fracturado",1
"842","dolor","garganta",2
"843","dolor","gracias",1
"844","dolor","gripe",1
"845","dolor","gritar",1
"846","dolor","herida",2
"847","dolor","herido",3
"848","dolor","herir",1
"849","dolor","hielo",1
"850","dolor","hospital",5
"851","dolor","hueso",2
"852","dolor","infierno",1
"853","dolor","inyeccioon",1
"854","dolor","laagrima",1
"855","dolor","mal",2
"856","dolor","malo",1
"857","dolor","medicamento",1
"858","dolor","medicina",4
"859","dolor","meedico",8
"860","dolor","muleta",1
"861","dolor","nariz",1
"862","dolor","pena",1
"863","dolor","pie",1
"864","dolor","pierna",3
"865","dolor","playa",1
"866","dolor","roto",4
"867","dolor","sol",1
"868","dolor","traagico",1
"869","dolor","triste",6
"870","enfermarse","accidente",1
"871","enfermarse","aspirina",1
"872","enfermarse","cama",2
"873","enfermarse","cara",1
"874","enfermarse","carro",1
"875","enfermarse","descansar",1
"876","enfermarse","doctor",12
"877","enfermarse","doler",1
"878","enfermarse","dolor",2
"879","enfermarse","dormir",1
"880","enfermarse","enfermar",1
"881","enfermarse","enfermeriia",1
"882","enfermarse","enfermero",6
"883","enfermarse","enfermo",6
"884","enfermarse","enojado",1
"885","enfermarse","fiebre",3
"886","enfermarse","garganta",1
"887","enfermarse","gripe",4
"888","enfermarse","hospital",13
"889","enfermarse","hospitalizado",1
"890","enfermarse","inyeccioon",1
"891","enfermarse","mal",1
"892","enfermarse","malo",1
"893","enfermarse","medicamento",1
"894","enfermarse","medicina",5
"895","enfermarse","meedico",6
"896","enfermarse","mujer",1
"897","enfermarse","pastilla",2
"898","enfermarse","salud",3
"899","enfermarse","sangre",1
"900","enfermarse","sentir",2
"901","enfermarse","sopa",2
"902","enfermarse","termoometro",1
"903","enfermarse","tos",8
"904","ensalada","alinno",1
"905","ensalada","almorzar",2
"906","ensalada","almuerzo",1
"907","ensalada","bueno",2
"908","ensalada","cebolla",1
"909","ensalada","cena",2
"910","ensalada","cenar",1
"911","ensalada","cocinar",1
"912","ensalada","comer",2
"913","ensalada","comida",8
