ProlificID,Participant,Gender,Age,SpanL1,LangSpoken,Lang_0.5,Lang_6.12,Lang_13.18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country,Word,AssociateNumber,Orig_Response,Response,Response_Class,Relation_Type,Confidence,Comments,List,word_ID,translation,Block
5f910e8e53814b228b0dad03,sp136,Male,33,Yes,spanish english ,spanish,spanish,english,No,,,No,Yes,us,agua,1,vida,vida,noun,,,,A,r2_sp_a1,water,Span
5f23a85df0b93d1917f564a2,sp137,Female,19,Yes,English and Spanish,spanish,Spanish and english,Spanish and english,Yes,Elementary,2 years,Yes,No,,agua,1,lago,lago,noun,,,,A,r2_sp_a1,water,Span
60b3c73483f3174d2b71f7c3,sp138,Female,32,Yes,"English, Spanish",Spanish,"English, Spanish","English,Spanish",Yes,Primary through high school,12,No,No,,agua,1,Fresca,fresco,adjective,,,,A,r2_sp_a1,water,Span
60b06730835bd410c38c50c3,sp139,Female,26,Yes,English and Spanish,Spanish,Spanish,English and Spanish,No,,,Yes,Yes,Live in the United States,agua,1,Mar,mar,noun,,,,A,r2_sp_a1,water,Span
60262fc9487c5925e3cd5b50,sp140,Female,21,Yes,English and Spanish,Spanish,Spanish and english,Spanish and english,Yes,Middle school through College,8 years,No,No,,agua,1,Mar,mar,noun,,,,A,r2_sp_a1,water,Span
5c672e1a23f6300001381bcc,sp141,Female,26,Yes,English and Spanish,Spanish and English,"English primarily, but also Spanish","English primarily, but also Spanish",Yes,All throughout school,13 years,Yes,Yes,"USA, I live here",agua,1,playa,playa,noun,,,,A,r2_sp_a1,water,Span
5f07819ddc09923a87e5fb88,sp142,Female,26,Yes,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,Yes,US,agua,1,azul ,azul,adjective,,,,A,r2_sp_a1,water,Span
5e0adc8f4cac6834756db412,sp143,Female,26,Yes,Spanish and English,spanish,spanish and english,spanish and english,Yes,elementary,2 years,No,Yes,Canada 3 months,agua,1,lluvia,lluvia,noun,,,,A,r2_sp_a1,water,Span
60abcd34b10e18b0a4da9b54,sp144,Male,18,Yes,English and spanish,English and Spanish,English,English,Yes,Every year,12 years,Yes,Yes,United States for most of my life,agua,1,jugo,jugo,noun,,,,A,r2_sp_a1,water,Span
5f099b19d936ab01cbcde559,sp145,Female,32,Yes,English and Spanish ,Spanish ,Spanish and english,Spanish and English ,Yes,High school,6- but it was more like English writing not ESOL classes ,Yes,No,,agua,1,set ,sed,noun,,,,A,r2_sp_a1,water,Span
5e76ea63f62c6925b6afe078,sp146,Female,20,Yes,Spanish and English ,Spanish,Spanish and English,Spanish and English,Yes,high school,4 years,No,No,,agua,1,leche,leche,noun,,,,A,r2_sp_a1,water,Span
5f274af000b37f53b076c353,sp147,Female,21,Yes,"English, some spanish","spanish, english",english,english,Yes,"high school, middle school, college",9 years,Yes,No,,agua,1,nadar,nadar,verb,,,,A,r2_sp_a1,water,Span
60b71ec02accd50af7afbbf2,sp148,Female,18,Yes,English and Spanish,spanish ,spanish,spanish,Yes,"middle school, high school",8 years (all throughout school),No,Yes,Canada - 3 days,agua,1,bebida,bebida,noun,,,,A,r2_sp_a1,water,Span
609dde5fa5135f46ace70b93,sp149,Male,26,Yes,"english, spanish",spanish,"english, spanish","english, spanish",Yes,im from the US...all my school was in english,18 years,No,No,,agua,1,vaso,vaso,noun,,,,A,r2_sp_a1,water,Span
5eba2b79c8c303170107d91a,sp101,Male,19,Yes,"Primarily spanish at home, English everywhere else. ",Spanish and English,Spanish and English,Spanish and English,Yes,All schoolwork,13,Yes,Yes,"United States, I live here. ",agua,2,hielo,hielo,noun,,,,A,r2_sp_a1,water,Span
60a60751296176e147e864cd,sp102,Female,23,Yes,english and spanish ,both ,both,both ,No,,,Yes,Yes,america ,agua,2,hielo ,hielo,noun,,,,A,r2_sp_a1,water,Span
5f73dcbb61aeb016eecc53f4,sp103,Female,24,Yes,Spanish English ,Spanish,Spanish,Spanish ,Yes,"Elementary school, high school",Unsure,No,No,,agua,2,Refrescante,refrescante,adjective,,,,A,r2_sp_a1,water,Span
60258d0a581083125364dc65,sp104,Male,27,Yes,english and spanish,Spanish and English,Spanish and English,Spanish and English,Yes,All my life,12,No,No,,agua,2,hidratar,hidratar,verb,,,,A,r2_sp_a1,water,Span
56c684020fa600000d5cd939,sp105,Male,25,Yes,"spanish, english","spanish, english","spanish, english","spanish, english",Yes,elementary school,3 years,Yes,Yes,I live in the USA... ,agua,2,ocean,ocean,noun,,,Eng,A,r2_sp_a1,water,Span
5ec7d9910125920829519d00,sp106,Female,25,Yes,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,No,,agua,2,oceano,oceano,noun,,,,A,r2_sp_a1,water,Span
5fa727ceb78937465e777bc7,sp107,Male,27,Yes,English and Spanish,spanish,spanish,English and Spanish,No,,,Yes,No,,agua,2,mar,mar,noun,,,,A,r2_sp_a1,water,Span
5f56b56b0fa1b412025708cf,sp108,Female,31,Yes,English and Spanish,"Spanish, English","Spanish, English","Spanish, English",No,,,Yes,Yes,United States - I live there,agua,2,Café,cafe,noun,,,,A,r2_sp_a1,water,Span
609e3c8f536a639effc3cb94,sp109,Female,21,Yes,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",No,,,No,Yes,n/a,agua,2,lago,lago,noun,,,,A,r2_sp_a1,water,Span
608c39c9f5bfc76640e29fc5,sp110,Female,27,Yes,Spanish and English,2,2,2,No,,,Yes,No,,agua,2,caliente,caliente,adjective,,,,A,r2_sp_a1,water,Span
60a2bf8a608932ec4198dc2d,sp111,Female,34,Yes,"Spanish, English",Spanish,Spanish,Spanish,Yes,High school,4,Yes,Yes,USA. 4 years,agua,2,Hielo,hielo,noun,,,,A,r2_sp_a1,water,Span
5f4312138af6971727798dca,sp112,Female,19,Yes,english and spanish,2,2,2,No,,,Yes,Yes,I live in an English speaking country,agua,2,pes,pez,noun,,,,A,r2_sp_a1,water,Span
5cf30fd3cf9f01001a6ccfc6,sp113,Female,24,Yes,spanish and english,spanish,spanish and english,both,No,,,No,No,,agua,2,fresca,fresco,adjective,,,,A,r2_sp_a1,water,Span
5fb33ab92d694ba648829568,sp114,Female,21,Yes,"spanish, english, french ",spanish,"english, spanish","spanish, english, french",Yes,elementary school,12,Yes,Yes,United States,agua,2,botella,botella,noun,,,,A,r2_sp_a1,water,Span
5f5fc99386b7b80816029eae,sp115,Male,25,Yes,English and Spanish,English and Spanish,English and Spanish,English and Spanish,Yes,"Elementary, middle school, high school, college",12,No,No,,agua,2,mar,mar,noun,,,,A,r2_sp_a1,water,Span
5f18c2af2946e80f3192e21a,sp116,Male,20,Yes,"English, Spanish",1,1,1,Yes,Elementary ,1,Yes,Yes,"United States, I live here now",agua,2,refrescante,refrescante,adjective,,,,A,r2_sp_a1,water,Span
5f5d1ca652e427552ac8ed04,sp117,Female,19,Yes,"Spanish, english","Spanish, english","Spanish, english","Spanish, english",Yes,"Elementary, middle and high school",10 years,Yes,Yes,USA,agua,2,Lago,lago,noun,,,,A,r2_sp_a1,water,Span
60935386bf8cef56e748047f,sp118,Female,21,Yes,english,spanish,english,english,No,,,Yes,No,,agua,2,leche,leche,noun,,,,A,r2_sp_a1,water,Span
5ff60710afa9e51285767d76,sp119,Male,21,Yes,"English, spanish, french",Spanish,Spanish,Spanish,Yes,Middle school,7 years,No,Yes,The US and Canada ,agua,2,caliente,caliente,adjective,,,,A,r2_sp_a1,water,Span
5f088062427fa6092767f97f,sp120,Female,19,Yes,Spanish + English ,Spanish,"Spanish, English ","Spanish, English ",No,,,Yes,Yes,USA whole life,agua,2,Bolsa,bolsa,noun,,,,A,r2_sp_a1,water,Span
5f0173db036ba22c01375033,sp121,Female,26,Yes,Spanish and English,Spanish,Spanish,Spanish,No,,,Yes,No,,agua,2,claro,claro,adjective,,,,A,r2_sp_a1,water,Span
607463a09b68c9e8c4e9532f,sp122,Male,31,Yes,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,No,,agua,2,Limpiar,limpiar,verb,,,,A,r2_sp_a1,water,Span
6026ae70a770da39bbd57e43,sp123,Female,26,Yes,"spanish, english",spanish,spanish/english,spanish/english,Yes,"elementary, middle/high school, college, university",20 yrs,Yes,Yes,"united states, 26 years",agua,2,vaso,vaso,noun,,,,A,r2_sp_a1,water,Span
5ec56f29293dfe549f3d7c35,sp124,Female,21,Yes,"english, spanish ",spanish,spanish,spanish & english,Yes,high school and college,11 years,No,No,,agua,2,bebida,bebida,noun,,,,A,r2_sp_a1,water,Span
5fc1585fa55c1a07e7925ccf,sp125,Male,20,Yes,"English, spanish","English, spanish","English, spanish","English, spanish",Yes,high school,the required amount for graduation,Yes,Yes,"United States, i live there now",agua,2,piscina,piscina,noun,,,,A,r2_sp_a1,water,Span
5dc1a1d0a4b6ac1091f0f4c2,sp126,Male,22,Yes,English and Spanish,Spanish,English,English,Yes,school,18 years,Yes,Yes,I was born in the USA,agua,2,claro,claro,adjective,,,,A,r2_sp_a1,water,Span
60b0cb3929bced862ad31050,sp127,Female,32,Yes,"English, Spanish, French","Spanish, English","English, Spanish","English, Spanish, French",No,,,Yes,Yes,United States; I have lived here since I was 2 so 30 years,agua,2,tomar,tomar,verb,,,,A,r2_sp_a1,water,Span
60108aec80f7d93e97a38612,sp129,Female,22,Yes,"Spanish, English", Spanish,Spanish,Spanish,No,,,No,No,,agua,2,sed,sed,noun,,,,A,r2_sp_a1,water,Span
