"","source","target","weight"
"364","barrer","churre",1
"365","barrer","cloro",1
"366","barrer","cocina",1
"367","barrer","cocinar",1
"368","barrer","cosa",1
"369","barrer","cuando",1
"370","barrer","difiicil",1
"371","barrer","domingo",1
"372","barrer","doncella",1
"373","barrer","escoba",19
"374","barrer","escoger",1
"375","barrer","esponja",1
"376","barrer","faacil",1
"377","barrer","faena",1
"378","barrer","limpiar",31
"379","barrer","limpieza",1
"380","barrer","limpio",3
"381","barrer","madre",1
"382","barrer","mamaa",1
"383","barrer","mantener",1
"384","barrer","mopear",2
"385","barrer","mugre",1
"386","barrer","pala",1
"387","barrer","pelo",1
"388","barrer","piso",9
"389","barrer","polvo",6
"390","barrer","quehacer",1
"391","barrer","raapido",1
"392","barrer","recogedor",3
"393","barrer","sacudir",1
"394","barrer","sucio",6
"395","barrer","suficiente",1
"396","barrer","teajaho",1
"397","barrer","tierra",3
"398","barrer","trabajo",1
"399","barrer","trapear",13
"400","barrer","veijo",1
"401","basura","acumulacioon",1
"402","basura","afuera",1
"403","basura","animal",1
"404","basura","apestar",1
"405","basura","apestoso",4
"406","basura","asco",3
"407","basura","barrer",2
"408","basura","basurero",4
"409","basura","bolsa",8
"410","basura","botar",3
"411","basura","bote",7
"412","basura","caascara",1
"413","basura","calle",2
"414","basura","cartoon",1
"415","basura","casa",1
"416","basura","cesta",1
"417","basura","cesto",1
"418","basura","chatarra",1
"419","basura","cochino",1
"420","basura","cocina",2
"421","basura","comida",5
"422","basura","cucaracha",1
"423","basura","desagradable",1
"424","basura","desecho",3
"425","basura","desperdicio",2
"426","basura","envoltura",1
"427","basura","escoba",1
"428","basura","expiracioon",1
"429","basura","feo",1
"430","basura","grande",1
"431","basura","grosero",1
"432","basura","hediondo",1
"433","basura","hombre",1
"434","basura","inmundicia",1
"435","basura","inservible",1
"436","basura","inuutil",1
"437","basura","lata",2
"438","basura","limpiar",2
"439","basura","limpio",1
"440","basura","maas",1
"441","basura","mal",1
"442","basura","maloliente",1
"443","basura","mieercoles",1
"444","basura","mugre",1
"445","basura","oler",1
"446","basura","olor",6
"447","basura","papel",11
"448","basura","papelera",1
"449","basura","pipote",1
"450","basura","plaastico",5
"451","basura","podrido",3
"452","basura","reciclaje",2
"453","basura","reciclar",4
"454","basura","reguero",2
"455","basura","residuo",1
"456","basura","resto",1
"457","basura","roto",1
"458","basura","sacar",1
"459","basura","sobra",1
"460","basura","suciedad",1
"461","basura","sucio",12
"462","basura","tacho",1
"463","basura","tirar",2
"464","basura","trabajo",1
"465","basura","ventana",1
"466","basura","vidrio",1
"467","basura","zafacoon",2
"468","calor","afuera",2
"469","calor","agua",3
